brand,franchisee_name,raw_address,city,state,zip,restaurant_phone
Jamba Juice,"Socal Smoothies, Llc","21213 Hawthorne Blvd, Ste C, Unit 107-27",Torrance,CALIFORNIA,90503,310.316.3923
Jamba Juice,"Vitaligent-Norcal, Llc","2501 Naglee Rd., Ste. A",Tracy,CALIFORNIA,95304,209.835.7308
Jamba Juice,Fresh Dining Concepts Llc,1681 Hillman Street,Tulare,CALIFORNIA,93274,559.686.1857
Jamba Juice,"Vitaligent-Norcal, Llc",3100 Countryside Dr Ste. 100,Turlock,CALIFORNIA,95380,209.656.0941
Jamba Juice,Turlock Main St. Inc.,2300 W. Main Street,Turlock,CALIFORNIA,95380,530.777.2405
Jamba Juice,"Tetrad Investments, Lp","15190 Kensington Park Dr, Ste E2",Tustin,CALIFORNIA,92780,714-760-4814
Jamba Juice,"Vitaligent-Norcal, Llc",2091-A Harbison Dr.,Vacaville,CALIFORNIA,95687,707.451.8403
Jamba Juice,"Vitaligent-Norcal, Llc","1651 E. Monte Vista Ave, Ste. 101",Vacaville,CALIFORNIA,95688,707.455.7302
Jamba Juice,Right Appetite Llc,27061 McBean Pkwy,Valencia,CALIFORNIA,91355,661.290.2438
Jamba Juice,"One Whirld, Inc.",165 Plaza Drive #709,Vallejo,CALIFORNIA,94591,707.641.2022
Jamba Juice,"Rpm Juice, Inc.",7221 Van Nuys Blvd.,Van Nuys,CALIFORNIA,91405,(818) 290-3620
Jamba Juice,American Juice Company Inc.,15617 Roy Rogers Drive,Victorville,CALIFORNIA,92394,760.486.2842
Jamba Juice,Fresh Dining Concepts Llc,"2038 S. Mooney Blvd., M-1",Visalia,CALIFORNIA,93277,559.713.0704
Jamba Juice,"Gateway Travel Center, Inc.","8847 Ave 280, # A",Visalia,CALIFORNIA,93277,559-931-9331
Jamba Juice,Fresh Dining Concepts Llc,"465 Hacienda Drive, Ste. 200",Vista,CALIFORNIA,92081,442.224.5201
Jamba Juice,"Vitaligent-East Bay, Llc",704 A Bancroft Rd.,Walnut Creek,CALIFORNIA,94598,925.944.2900
Jamba Juice,Juicecrafters Inc.,"120 S. California Ave., Ste. B",West Covina,CALIFORNIA,91790,626.960.0599
Jamba Juice,"Rpm Juice, Inc.",22815 Victory Blvd. #B,West Hills,CALIFORNIA,91307,818-610-1006
Jamba Juice,"Vitaligent-Norcal, Llc","2155 Town Center Plaza, Ste. #140",West Sacramento,CALIFORNIA,95691,916.617.2410
Jamba Juice,"Idad-3, Inc",2749 Agoura Rd.,Westlake Village,CALIFORNIA,91361,805.778.0854
Jamba Juice,Purezest Llc,"6777 Westminster Blvd., Ste. B",Westminster,CALIFORNIA,92683,714.890.3581
Jamba Juice,Purezest Llc,"15576 Whittwood Lane, Ste. 27-C",Whittier,CALIFORNIA,90603,562.902.2450
Jamba Juice,Purezest Llc,10124 Carmenita Road,Whittier,CALIFORNIA,90605,562.946.7363
Jamba Juice,"Pak Investment, Inc.",35876 Winchester Road,Winchester,CALIFORNIA,92596,951.467.0000
Jamba Juice,"Vitaligent-Norcal, Llc","1897 East Gibson Rd., Ste. E",Woodland,CALIFORNIA,95776,530.406.0486
Jamba Juice,"Rpm Juice, Inc.",6441 Canoga Ave.,Woodland Hills,CALIFORNIA,91367,818.912.6297
Jamba Juice,Fresh Dining Concepts Llc,"1258 Stabler Lane, Ste. 150",Yuba City,CALIFORNIA,95993,530.790.7767
Jamba Juice,Whirl Colorado Llc,14151 E. Cedar Ave.,Aurora,COLORADO,80012,303.284.4852
Jamba Juice,Whirl Colorado Llc,"24107 E. Commons Ave., Ste. 101",Aurora,COLORADO,80016,720.274.5323
Jamba Juice,"Three Tom Brands, Llc",10650 E Garden Drive Suite 101,Aurora,COLORADO,80012,303.955.4874
Jamba Juice,Whirl Colorado Llc,3053 Arapahoe Ave.,Boulder,COLORADO,80303,303.247.1170
Jamba Juice,"Three Tom Brands, Llc",6202 S. Parker Road,Centennial,COLORADO,80016,303-997-7583
Jamba Juice,Cos Hoover Llc,1708 E. Woodmen Rd.,Colorado Springs,COLORADO,80920,719-593-5889
Jamba Juice,Cos Hoover Llc,3730 Bloomington Street,Colorado Springs,COLORADO,80922,7197319121
Jamba Juice,Whirl Colorado Llc,1685 South Colorado Blvd.,Denver,COLORADO,80222,303.691.5066
Jamba Juice,Whirl Colorado Llc,701 16th Street,Denver,COLORADO,80202,303.892.1361
Jamba Juice,"Fm Juice Company, Llc",8600 E. Pena Blvd.,Denver,COLORADO,80249,303.342.8398
Jamba Juice,"Dia Juice, Llc","8900 Pena Blvd, Concourse C",Denver,COLORADO,80249,3033426742
Jamba Juice,Whirl Colorado Llc,14237 West Colfax Ave.,Golden,COLORADO,80401,303.271.0667
Jamba Juice,Whirl Colorado Llc,7297 W. Alaska Dr.,Lakewood,COLORADO,80226,720.974.3216
Jamba Juice,Whirl Colorado Llc,"100 East 120th Ave, Ste C120",Northglenn,COLORADO,80233,303.255.4554
Jamba Juice,Whirl Colorado Llc,"5160 W. 120th Ave., Ste. J",Westminster,COLORADO,80030,303.466.9268
Jamba Juice,O&S Llc,263 Boston Post Rd,Orange,CONNECTICUT,06477,(475) 209-9170
Jamba Juice,Cyrus Amroliwalla,1500 New Britain Avenue,West Hartford,CONNECTICUT,06110,959-999-0789
Jamba Juice,All About Foods Group Inc.,Schoephoester Road,Windsor Locks,CONNECTICUT,06096,860.758.5198
Jamba Juice,Riyad Omar,160 Rehoboth Avenue,Rehoboth Beach,DELAWARE,19971,(302) 227-1999
Jamba Juice,St Endeavors Llc,5613 Concord Pike,Wilmington,DELAWARE,19803,302-543-7530
Jamba Juice,"Sodexo Operations, Llc","15 Independence Ave, SE",Washington,DISTRICT OF COLUMBIA,20515,202.226.4359
Jamba Juice,Union Hfv Llc,50 Massachusetts Ave NE,Washington,DISTRICT OF COLUMBIA,20002,571.424.5096
Jamba Juice,Grak Concepts Llc,1400 Glades Rd.,Boca Raton,FLORIDA,33431,561.620.8895
Jamba Juice,Grak Concepts Llc,"694 Yamato Rd., Ste. #3",Boca Raton,FLORIDA,33431,561.994.0236
Jamba Juice,Grak Concepts Llc,2816 University Dr.,Coral Springs,FLORIDA,33065,954.575.2228
Jamba Juice,Grak Concepts Llc,"3200 N Federal Hwy., #607",Fort Lauderdale,FLORIDA,33306,954.630.3638
Jamba Juice,"Compass Group Usa, Inc.",1 UNF Drive,Jacksonville,FLORIDA,32224,9046205220
Jamba Juice,"Sun N' Fun Enterprises, Inc.",6000 W. Osceola Pkwy.,Kissimmee,FLORIDA,34746,407.586.0831
Jamba Juice,Grak Concepts Llc,7704 N. Kendall Dr.,Miami,FLORIDA,33156,305.273.5536
Jamba Juice,"Compass Group Usa, Inc.",Graham Center- 11200 SW 8th St,Miami,FLORIDA,33199,(305)348 0043
Jamba Juice,Ella'S Desserts Llc,673 Collins Ave.,Miami,FLORIDA,33139,786.536.2721
Jamba Juice,Grak Concepts Llc,2024 N. Flamingo Rd.,Pembroke Pines,FLORIDA,33028,954.885.9050
Jamba Juice,Grak Concepts Llc,"11053 Pines Blvd., Unit 422",Pembroke Pines,FLORIDA,33026,954.437.9404
Jamba Juice,Grak Concepts Llc,"11081 Southern Blvd., Ste 170",Royal Palm Beach,FLORIDA,33411,561.795.0429
Jamba Juice,Grak Concepts Llc,"10160 Forest Hill Blvd, Ste. 150",Wellington,FLORIDA,33414,561.753.7939
Jamba Juice,Fresh Dining Concepts Llc,1751 Palm Beach Lakes Blvd,West Palm Beach,FLORIDA,33401,561.530.7123
Jamba Juice,"Se Co-Brand Ventures, Llc",3393 Peachtree Road,Atlanta,GEORGIA,30326,770-370-9892
Jamba Juice,"Se Co-Brand Ventures, Llc",3450 Wrightsboro Rd,Augusta,GEORGIA,30909,706.849.8009
Jamba Juice,Dncths Atlanta Partners,"ATL Airport, Terminal T, 7700 Spine Road",College Park,GEORGIA,30321,4047621577
Jamba Juice,Royal Seven Food Llc,2334 Jonesboro Rd.,Hampton,GEORGIA,30228,470-781-1142
Jamba Juice,Board Of Regents Of The University System Of Ga By And On Behalf Of Ksu Un,395 Cobb Ave,Kennesaw,GEORGIA,30144,470.578.2109
Jamba Juice,Fresh Dining Concepts Llc,"98-1277 Kaahumanu St., Unit #6",Aiea (Oahu),HAWAII,96701,808.488.6246
Jamba Juice,Fresh Dining Concepts Llc,98-1005 Moanalua Rd,Aiea (Oahu),HAWAII,96701,808.488.8362
Jamba Juice,Fresh Dining Concepts Llc,94-1401 Fort Weaver Rd.,Ewa Beach (Oahu),HAWAII,96706,808.685.2440
Jamba Juice,Fresh Dining Concepts Llc,111 Puainako Street,Hilo (Big Island),HAWAII,96720,808.959.2250
Jamba Juice,Fresh Dining Concepts Llc,4211 Waialae Ave.,Honolulu (Oahu),HAWAII,96816,808.734.7988
Jamba Juice,Fresh Dining Concepts Llc,625 Kapahulu Ave.,Honolulu (Oahu),HAWAII,96816,808.734.4177
Jamba Juice,Fresh Dining Concepts Llc,550 Paiea Street,Honolulu (Oahu),HAWAII,96819,808.839.2737
Jamba Juice,"Sodexo Operations, Llc","2465 Campus Rd., Sodexho Campus Svcs Rm #220-A",Honolulu (Oahu),HAWAII,96822,808.956.2188
Jamba Juice,Fresh Dining Concepts Llc,"7192 Kalanianaole Hwy., #E-125",Honolulu (Oahu),HAWAII,96825,808.394.0280
Jamba Juice,Fresh Dining Concepts Llc,"1620 N. School St., Space J-4",Honolulu (Oahu),HAWAII,96817,808.832.1433
Jamba Juice,Fresh Dining Concepts Llc,"930 Valkenburgh St., #109",Honolulu (Oahu),HAWAII,96818,808.422.2807
Jamba Juice,Fresh Dining Concepts Llc,1450 Ala Moana Blvd.,Honolulu (Oahu),HAWAII,96814,808.628.7697
Jamba Juice,Fresh Dining Concepts Llc,4510 Salt Lake Blvd Ste D,Honolulu (Oahu),HAWAII,96818,808.628.6685
Jamba Juice,Fresh Dining Concepts Llc,"275 West Kaahumanu Ave., #F3",Kahului (Maui),HAWAII,96732,808.873.2003
Jamba Juice,Fresh Dining Concepts Llc,539 Kailua Rd.,Kailua (Oahu),HAWAII,96734,808.263.0975
Jamba Juice,Fresh Dining Concepts Llc,74-5588 Palani Rd.,Kailua-Kona (Big Island),HAWAII,96740,808.327.6900
Jamba Juice,Fresh Dining Concepts Llc,45-023 Kamehameha Highway,Kaneohe (Oahu),HAWAII,96744,808.234.5428
Jamba Juice,Fresh Dining Concepts Llc,500 Kamokila Blvd.,Kapolei (Oahu),HAWAII,96707,(808) 692-8739
Jamba Juice,Fresh Dining Concepts Llc,"274 Piikea Ave., #105",Kihei (Maui),HAWAII,96753,808.891.8874
Jamba Juice,Fresh Dining Concepts Llc,"3-2600 Kaumualii Hwy, #A7",Lihue (Kauai),HAWAII,96766,808.241.7042
Jamba Juice,Fresh Dining Concepts Llc,"95-1249 Meheula Pkwy., Bldg. 5",Mililani (Oahu),HAWAII,96789,808.627.1849
Jamba Juice,Fresh Dining Concepts Llc,95-221 Kipapa Dr.,Mililani (Oahu),HAWAII,96789,808.625.6680
Jamba Juice,Fresh Dining Concepts Llc,422 Kamehameha Hwy,Pearl City (Oahu),HAWAII,96782,(808) 312-1491
Jamba Juice,Fresh Dining Concepts Llc,"86-120 Farrington Highway, Unit #5",Waianae (Oahu),HAWAII,96792,808.628.6797
Jamba Juice,Fresh Dining Concepts Llc,700 Waiale Rd,Wailuku (Maui),HAWAII,96793,808 893-0369
Jamba Juice,Fresh Dining Concepts Llc,"94-821 Lumiaina St., Bldg #8 Ste. 2",Waipahu,HAWAII,96797,808.678.3138
Jamba Juice,Fresh Dining Concepts Llc,94-673 Kupuohi St.,Waipahu,HAWAII,96797,808.680.9223
Jamba Juice,Trees Company Llc,"350 N Milwaukee St, Space 5517",Boise,IDAHO,83704,208-488-4535
Jamba Juice,"Urban Investments, Llc","202 W. Ironwood Dr., Ste. E",Coeur D'Alene,IDAHO,83814,208.664.3206
Jamba Juice,"Juice It Up, Inc.",1803 S. 2500 E.,Idaho Falls,IDAHO,83406,208.542.0231
Jamba Juice,"Juice It Up, Inc.",417 S. Utah Ave,Idaho Falls,IDAHO,83402,208.524.2348
Jamba Juice,"Juice It Up, Inc.",2300 E 17th St,Idaho Falls,IDAHO,83404,208-419-0834
Jamba Juice,Trees Company Llc,3085 E. Ustick Road,Meridian,IDAHO,83646,208.509.4039
Jamba Juice,Trees Company Llc,1201 W Chinden Blvd ste 100,Meridian,IDAHO,83646,208.506.6225
Jamba Juice,Trees Company Llc,2025 12th Ave. Rd.,Nampa,IDAHO,83686,208.546.0839
Jamba Juice,Pocatello Smoothie Co Llc,1103 Yellowstone Ave.,Pocatello,IDAHO,83201,208.478.9852
Jamba Juice,Rexburg Smoothie Company Llc,138 W. Main Street,Rexburg,IDAHO,83440,208.359.9617
Jamba Juice,"Juice It Up, Inc.","1239 Pole Line Rd East, Ste 310C",Twin Falls,IDAHO,83301,208.735.2424
Jamba Juice,Smoothie Partners Llc,260 McHenry Road,Buffalo Grove,ILLINOIS,60089,847.243.4160
Jamba Juice,"Susu Hospitality Group, Llc","500 W. Madison St., #C007",Chicago,ILLINOIS,60661,312.474.0350
Jamba Juice,"Susu Hospitality Group, Llc","225 S. Canal St., Food Court",Chicago,ILLINOIS,60606,312.382.9904
Jamba Juice,"Natural Energy Unlimited Of Chicago, Llc","10000 West O'Hare Terminal 1, b.u. 93C (Gate B-7)",Chicago,ILLINOIS,60666,(773) 686-5859
Jamba Juice,"Susu Hospitality Group, Llc",875 N. Michigan Ave.,Chicago,ILLINOIS,60611,312-837-3803
Jamba Juice,"Susu Hospitality Group, Llc","6000 Northwest Hwy, Ste. 56-C",Crystal Lake,ILLINOIS,60014,779-356-4081
Jamba Juice,"Susu Hospitality Group, Llc","21690 West Long Grove Rd., Unit B",Deer Park,ILLINOIS,60010,847-320-1162
Jamba Juice,"Susu Hospitality Group, Llc",1732 Sherman Ave.,Evanston,ILLINOIS,60201,224-714-2109
Jamba Juice,"Susu Hospitality Group, Llc",1544 Commons Dr.,Geneva,ILLINOIS,60134,(630) 262-9360
Jamba Juice,"Susu Hospitality Group, Llc",6170 Grand Ave.,Gurnee,ILLINOIS,60031,773-705-0816
Jamba Juice,Hot Buns Company,203 Yorktown Center,Lombard,ILLINOIS,60521,630.785.3045
Jamba Juice,Hot Buns Company,"4136-E N Harlem Avenue, Space 32",Norridge,ILLINOIS,60706,708.695.9067
Jamba Juice,"Susu Hospitality Group, Llc",17W426 22nd Street,Oakbrook Terrace,ILLINOIS,60181,630-828-0251
Jamba Juice,"Susu Hospitality Group, Llc","15159 S. La Grange Rd., #400",Orland Park,ILLINOIS,60462,708.981.3237
Jamba Juice,Venkat Govind Llc,"16302 S. Boulevard Place, Unit 100",Plainfield,ILLINOIS,60586,815.782.8202
Jamba Juice,"Susu Hospitality Group, Llc","601 N. Martingale Rd., Ste. #310",Schaumburg,ILLINOIS,60173,847-466-5757
Jamba Juice,Fresh Dining Concepts Llc,5 Woodfield Mall,Schaumburg,ILLINOIS,60173,312.209.9906
Jamba Juice,"Susu Hospitality Group, Llc","700 N. Milwaukee Ave., Ste. 144",Vernon Hills,ILLINOIS,60061,224-294-0492
Jamba Juice,Juice And Pretzel Inc,4700 Gilbert Avenue #57,Western Springs,ILLINOIS,60558,708.260.7030
Jamba Juice,"Susu Hospitality Group, Llc",278 Danada Square West,Wheaton,ILLINOIS,60187,630.221.1573
Jamba Juice,"Susu Hospitality Group, Llc",7169 S. Kingery Highway,Willowbrook,ILLINOIS,60527,630-828-0250
Jamba Juice,"Bruegger'S Enterprises, Inc.",708 S. Riverside Dr,Iowa City,IOWA,52246,(319) 333-0019
Jamba Juice,"Connected Juice Co, Llc",10209 West 29th St N.,Wichita,KANSAS,67205,316.223.1272
Jamba Juice,"Connected Juice Co, Llc","12938 E. 21st Street, N.",Wichita,KANSAS,67230,316.796.5352
Jamba Juice,"Air Ventures, Llc","BWI Airport, Concourse A/B, Tenant S-18",Baltimore,MARYLAND,21240,(410) 859-1157
Jamba Juice,"Haider Ali Memon, Fatima Rafique",621 E. Pratt Street,Baltimore,MARYLAND,21202,443-438-5572
Jamba Juice,"Hfv2, Llc",7101 Democracy Blvd.,Bethesda,MARYLAND,20817,(443) 924-1917
Jamba Juice,"Karma York, Llc",11221 York Rd.,Cockeysville,MARYLAND,21030,443.318.6590
Jamba Juice,Riyad Omar,901 North Atlantic Avenue,Ocean City,MARYLAND,21842,443.365.9444
Jamba Juice,Dharmesh Shah,173 Waterfront St.,Oxon Hill,MARYLAND,20745,240.493.7136
Jamba Juice,"Haider Ali Memon, Fatima Rafique",,Towson,MARYLAND,21212,410.616.9472
Jamba Juice,"Security Jj, Llc","6669 Security Blvd, Ste M-1",Woodlawn,MARYLAND,21207,443-893-3189
Jamba Juice,"Bruegger'S Enterprises, Inc.",158-K Great Rd,Bedford,MASSACHUSETTS,01730,(781) 778-2927
Jamba Juice,Fresh Dining Concepts Llc,75 Middlesex Turnpike,Burlington,MASSACHUSETTS,01803,857.275.2972
Jamba Juice,Ytaz Corporation,769 Lyannough Road,Hyannis,MASSACHUSETTS,02601,774.470.2194
Jamba Juice,"Bruegger'S Enterprises, Inc.",496-498 Main Street,Melrose,MASSACHUSETTS,02176,781.665.1913
Jamba Juice,"Karemor, Inc.",103 East Grand River,East Lansing,MICHIGAN,48823,517.977.1930
Jamba Juice,Rmd Food Llc,929 W. Big Beaver Road,Troy,MICHIGAN,48084,248-509-7513
Jamba Juice,Fresh Dining Concepts Llc,317 East Broadway,Bloomington,MINNESOTA,55425,952.854.5540
Jamba Juice,Fresh Dining Concepts Llc,2111 County Road 42 W.,Burnsville,MINNESOTA,55306,763.264.0024
Jamba Juice,Rich Foods Llc,3965 Eagan Outlets Pkwy.,Eagan,MINNESOTA,55122,612.900.0405
Jamba Juice,Fresh Dining Concepts Llc,7511 France Ave. South,Edina,MINNESOTA,55435,952.842.9251
Jamba Juice,"Northern Hospitality Company, Llc",1600 Warren Street,Mankato,MINNESOTA,56001,507.779.7002
Jamba Juice,Fresh Dining Concepts Llc,"11632 Fountains Dr, Ste 403",Maple Grove,MINNESOTA,55311,763.703.3731
Jamba Juice,Fresh Dining Concepts Llc,12401 Wayzata Blvd,Minnetonka,MINNESOTA,55305,952-544-0486
Jamba Juice,Fresh Dining Concepts Llc,1577 Grand Ave.,St. Paul,MINNESOTA,55105,651.695.0080
Jamba Juice,Fresh Dining Concepts Llc,"8362 Tamarack Village, #123",Woodbury,MINNESOTA,55125,651.731.9412
Jamba Juice,"Mojj, Llc",173 West County Center Drive,Des Peres,MISSOURI,63131,314.626.8001
Jamba Juice,Heartlands Pretzel Iii Llc,14333 S. Nebraska Hwy 31,Gretna,NEBRASKA,68028,402.332.5133
Jamba Juice,Gns Holdings Inc.,"921 Topsy Lane, Ste. 412",Carson City,NEVADA,89705,7752676642
Jamba Juice,"Fc Juice Partners, Llc","1500 N. Green Valley Pkwy., Ste. 240",Henderson,NEVADA,89074,702.270.3336
Jamba Juice,"Fc Juice Partners, Llc",10251 S. Eastern Ave Ste. 120,Henderson,NEVADA,89052,702.901.8255
Jamba Juice,"Aramark Food And Support Services Group, Inc.","UNLV Student Union Bldg., Space #119",Las Vegas,NEVADA,89154,702.895.0827
Jamba Juice,"Fc Juice Partners, Llc","5905 S. Eastern Ave., Ste. 108",Las Vegas,NEVADA,89119,702.632.2815
Jamba Juice,"Fc Juice Partners, Llc","2546 East Craig Rd., Ste. 135",Las Vegas,NEVADA,89030,702.399.4198
Jamba Juice,"Fc Juice Partners, Llc","1121 S Decatur Blvd., Ste. 110",Las Vegas,NEVADA,89102,702.387.9630
Jamba Juice,"Fc Juice Partners, Llc","3200 Las Vegas Blvd, Space 1340",Las Vegas,NEVADA,89109,7026912760
Jamba Juice,"Hospitality Culinaire, Inc.",5757 Wayne Newton Blvd,Las Vegas,NEVADA,89119,702-837-1542
Jamba Juice,"Fc Juice Partners, Llc","6925 S. Rainbow Blvd, Ste 100",Las Vegas,NEVADA,89119,7029061491
Jamba Juice,"Fc Juice Partners, Llc",10830 W. Charleston Blvd,Las Vegas,NEVADA,89135,702-629-2902
Jamba Juice,"Fc Juice Partners, Llc",7130 West Craig Rd,Las Vegas,NEVADA,89129,702.330.0167
Jamba Juice,"Fc Juice Partners, Llc",7204 South Durango,Las Vegas,NEVADA,89113,(702) 640-0694
Jamba Juice,Gns Holdings Inc.,"5140 Kietzke Lane, Ste. B",Reno,NEVADA,89511,775.828.5483
Jamba Juice,Mei-Gsr Holdings Llc,2500 E 2nd St,Reno,NEVADA,89595,(775) 789-2366
Jamba Juice,"One Whirld, Inc.",985 W. 5th Street,Reno,NEVADA,89503,775.622.8690
Jamba Juice,Brunswick Health Food Inc,652 Shoppes Boulevard,North Brunswick,NEW JERSEY,08902,732.227.0490
Jamba Juice,Vibe And Blend Llc,845 Juan Tabo Blvd NE,Albuquerque,NEW MEXICO,87123,505-677-8484
